Clusters,Methods
2,br.com.ggas.contrato.contrato.impl.ControladorModeloContratoImpl.obterListaSituacaoContratoPadrao
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.listarEntidadeConteudoPorDescricaoEntidadeClasse
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaHoraInicialDia
2,br.com.ggas.contrato.contrato.impl.ControladorContratoImpl.listarContratoModalidade
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaResponsabilidades
2,br.com.ggas.arrecadacao.impl.ControladorArrecadacaoConvenioImpl.consultarArrecadadorConvenio
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaItemFatura
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.listarLocalAmostragemPCS
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaContratoCompra
2,br.com.ggas.medicao.consumo.impl.ControladorHistoricoConsumoImpl.listarIntervaloPCS
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaFormaCobranca
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaPeriodicidadeTOP
2,br.com.ggas.faturamento.apuracaopenalidade.impl.ControladorApuracaoPenalidadeImpl.listarPenalidadesRetMaiorMenor
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaPeriodicidadeRetiradaMaiorMenor
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaReferenciaQFParadaProgramada
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaPeriodicidadeSOP
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaDataReferenciaCambial
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaConsumoReferencial
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaDiaCotacao
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.listarAmortizacoes
2,br.com.ggas.contrato.contrato.impl.ControladorContratoImpl.obterListaPenalidadeDemandaSob
2,br.com.ggas.contrato.contrato.impl.ControladorContratoImpl.obterListaPenalidadeDemandaSobre
2,br.com.ggas.faturamento.tarifa.impl.ControladorTarifaImpl.listaIndiceFinanceiro
2,br.com.ggas.medicao.anormalidade.impl.ControladorAnormalidadeImpl.listarAcaoAnormalidadeConsumoSemLeitura
2,br.com.ggas.medicao.vazaocorretor.impl.ControladorUnidadeImpl.listarUnidadesPorChaveClasseUnidade
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.listarBasesApuracaoPenalidadeMaiorMenor
6,br.com.ggas.medicao.vazaocorretor.impl.ControladorUnidadeImpl.listarUnidadesPorChaveClasseUnidade
2,br.com.ggas.medicao.vazaocorretor.impl.ControladorUnidadeImpl.listarUnidadesPorChaveClasseUnidade
2,br.com.ggas.faturamento.tarifa.impl.ControladorTarifaImpl.obterTarifas
3,br.com.ggas.faturamento.tarifa.impl.ControladorTarifaImpl.obterTarifas
6,br.com.ggas.faturamento.tarifa.impl.ControladorTarifaImpl.obterTarifasPorRamoAtividade
5,br.com.ggas.faturamento.tarifa.impl.ControladorTarifaImpl.obterTarifasPorRamoAtividade
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaTipoMultaRecisoria
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaTipoGarantiaFinanceira
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaTipoAgrupamento
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaRegimeConsumo
2,br.com.ggas.medicao.rota.impl.ControladorRotaImpl.listarPeriodicidades
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaCriterioUso
6,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaFormaPagamento
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaTipoFaturamento
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaFaseReferencialVencimento
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaOpcaoFaseRefVencimento
4,br.com.ggas.geral.negocio.impl.ControladorNegocioImpl.inicializarLazy
2,br.com.ggas.geral.negocio.impl.ControladorNegocioImpl.obter
2,br.com.ggas.contrato.contrato.impl.ControladorModeloContratoImpl.consultarModelosContrato
2,br.com.ggas.contrato.contrato.impl.ControladorContratoImpl.consultarContratoPrincipalEComplementar
3,br.com.ggas.geral.negocio.impl.ControladorNegocioImpl.obter
1,br.com.ggas.geral.negocio.impl.ControladorNegocioImpl.inicializarLazy
2,br.com.ggas.geral.negocio.impl.ControladorNegocioImpl.obter
2,br.com.ggas.geral.negocio.impl.ControladorNegocioImpl.inicializarLazy
3,br.com.ggas.geral.negocio.impl.ControladorNegocioImpl.obter
5,br.com.ggas.geral.negocio.impl.ControladorNegocioImpl.obter
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.listarEntidadeConteudoPorDescricaoEntidadeClasse
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaHoraInicialDia
2,br.com.ggas.contrato.contrato.impl.ControladorContratoImpl.listarContratoModalidade
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaResponsabilidades
6,br.com.ggas.arrecadacao.impl.ControladorArrecadacaoConvenioImpl.consultarArrecadadorConvenio
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaItemFatura
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.listarLocalAmostragemPCS
2,br.com.ggas.medicao.consumo.impl.ControladorHistoricoConsumoImpl.listarIntervaloPCS
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaContratoCompra
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.listarDiasVencimento
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaFormaCobranca
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaPeriodicidadeTOP
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaPeriodicidadeRetiradaMaiorMenor
2,br.com.ggas.faturamento.apuracaopenalidade.impl.ControladorApuracaoPenalidadeImpl.listarPenalidadesRetMaiorMenor
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaReferenciaQFParadaProgramada
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaPeriodicidadeSOP
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaDataReferenciaCambial
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaConsumoReferencial
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaDiaCotacao
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.listarAmortizacoes
2,br.com.ggas.contrato.contrato.impl.ControladorContratoImpl.obterListaPenalidadeDemandaSob
2,br.com.ggas.contrato.contrato.impl.ControladorContratoImpl.obterListaPenalidadeDemandaSobre
2,br.com.ggas.faturamento.tarifa.impl.ControladorTarifaImpl.listaIndiceFinanceiro
2,br.com.ggas.medicao.anormalidade.impl.ControladorAnormalidadeImpl.listarAcaoAnormalidadeConsumoSemLeitura
2,br.com.ggas.medicao.vazaocorretor.impl.ControladorUnidadeImpl.listarUnidadesPorChaveClasseUnidade
2,br.com.ggas.medicao.vazaocorretor.impl.ControladorUnidadeImpl.listarUnidadesPorChaveClasseUnidade
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.listarBasesApuracaoPenalidadeMaiorMenor
2,br.com.ggas.medicao.vazaocorretor.impl.ControladorUnidadeImpl.listarUnidadesPorChaveClasseUnidade
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaTipoMultaRecisoria
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaTipoGarantiaFinanceira
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaTipoAgrupamento
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaRegimeConsumo
2,br.com.ggas.medicao.rota.impl.ControladorRotaImpl.listarPeriodicidades
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaCriterioUso
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaFormaPagamento
6,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaTipoFaturamento
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaFaseReferencialVencimento
2,br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaOpcaoFaseRefVencimento
6,br.com.ggas.contrato.contrato.impl.ControladorContratoImpl.listarContratoPenalidadeTakeOrPayPorContrato
2,br.com.ggas.contrato.contrato.impl.ControladorContratoImpl.listarContratoPenalidadeRetiradaMaiorMenorPorContrato
2,br.com.ggas.geral.negocio.impl.ControladorNegocioImpl.obter
2,br.com.ggas.contrato.contrato.impl.ControladorContratoImpl.listarContratoClientePorPontoConsumo
2,br.com.ggas.medicao.vazaocorretor.impl.ControladorFaixaPressaoFornecimentoImpl.obterFaixaPressaoFornecimento
2,br.com.ggas.contrato.contrato.impl.ControladorContratoImpl.consultarIntervaloPCSPorCPC
2,br.com.ggas.contrato.contrato.impl.ControladorContratoImpl.obterTamanhoIntervaloPCSPorCPC
2,br.com.ggas.contrato.contrato.impl.ControladorContratoImpl.consultarLocalAmostragemPCSPorCPC
5,br.com.ggas.contrato.contrato.impl.ControladorContratoImpl.listarContratoPontoConsumo
7,br.com.ggas.contrato.contrato.impl.ControladorContratoImpl.listarItensVencimentoPorContratoPontoConsumo
2,br.com.ggas.geral.negocio.impl.ControladorNegocioImpl.obter
2,br.com.ggas.contrato.contrato.impl.ControladorContratoImpl.listarModalidadesPorContratoPontoConsumo
6,br.com.ggas.contrato.contrato.impl.ControladorModeloContratoImpl.obterListaSituacaoContratoAditado
0,br.com.ggas.geral.negocio.impl.ControladorNegocioImpl.obter
0,br.com.ggas.controleacesso.impl.ControladorAcessoImpl.buscarPermissao
