0,1,2,3,4
br.com.ggas.contrato.contrato.impl.ControladorModeloContratoImpl.obterListaSituacaoContratoPadrao,1,3.0,0.666703,1
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.listarEntidadeConteudoPorDescricaoEntidadeClasse,7,16.0,14.960744,2
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaHoraInicialDia,1,0.0,0.98583,1
br.com.ggas.contrato.contrato.impl.ControladorContratoImpl.listarContratoModalidade,1,3.0,0.4766,1
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaResponsabilidades,1,3.0,0.47926,1
br.com.ggas.arrecadacao.impl.ControladorArrecadacaoConvenioImpl.consultarArrecadadorConvenio,1,6.0,2.229054,4
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaItemFatura,1,3.0,5.046672,1
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.listarLocalAmostragemPCS,1,4.0,0.463382,1
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaContratoCompra,1,4.0,0.470556,1
br.com.ggas.medicao.consumo.impl.ControladorHistoricoConsumoImpl.listarIntervaloPCS,1,3.0,0.453765,1
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaFormaCobranca,1,3.0,0.5062,1
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaPeriodicidadeTOP,1,3.0,0.472317,1
br.com.ggas.faturamento.apuracaopenalidade.impl.ControladorApuracaoPenalidadeImpl.listarPenalidadesRetMaiorMenor,1,2.0,0.627994,1
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaPeriodicidadeRetiradaMaiorMenor,1,3.0,0.677917,1
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaReferenciaQFParadaProgramada,1,2.0,0.44217,1
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaPeriodicidadeSOP,1,3.0,0.453613,1
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaDataReferenciaCambial,1,2.0,0.735813,1
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaConsumoReferencial,1,3.0,0.52176,1
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaDiaCotacao,1,5.0,0.484241,1
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.listarAmortizacoes,1,2.0,0.676564,1
br.com.ggas.contrato.contrato.impl.ControladorContratoImpl.obterListaPenalidadeDemandaSob,1,1.0,0.66234,1
br.com.ggas.contrato.contrato.impl.ControladorContratoImpl.obterListaPenalidadeDemandaSobre,1,1.0,0.500165,1
br.com.ggas.faturamento.tarifa.impl.ControladorTarifaImpl.listaIndiceFinanceiro,1,6.0,0.49415,1
br.com.ggas.medicao.anormalidade.impl.ControladorAnormalidadeImpl.listarAcaoAnormalidadeConsumoSemLeitura,1,3.0,0.564437,1
br.com.ggas.medicao.vazaocorretor.impl.ControladorUnidadeImpl.listarUnidadesPorChaveClasseUnidade,1,1.0,6.199475,1
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.listarBasesApuracaoPenalidadeMaiorMenor,1,2.0,0.428933,1
br.com.ggas.medicao.vazaocorretor.impl.ControladorUnidadeImpl.listarUnidadesPorChaveClasseUnidade,1,1.0,62.341394,1
br.com.ggas.medicao.vazaocorretor.impl.ControladorUnidadeImpl.listarUnidadesPorChaveClasseUnidade,1,10.0,1.228453,1
br.com.ggas.faturamento.tarifa.impl.ControladorTarifaImpl.obterTarifas,1,1.0,1.922217,1
br.com.ggas.faturamento.tarifa.impl.ControladorTarifaImpl.obterTarifas,84,130.0,225.893203,63
br.com.ggas.faturamento.tarifa.impl.ControladorTarifaImpl.obterTarifasPorRamoAtividade,1,0.0,56.017748,1
br.com.ggas.faturamento.tarifa.impl.ControladorTarifaImpl.obterTarifasPorRamoAtividade,85,131.0,120.345574,63
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaTipoMultaRecisoria,1,3.0,0.448463,1
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaTipoGarantiaFinanceira,1,12.0,1.2873,1
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaTipoAgrupamento,1,2.0,0.444393,1
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaRegimeConsumo,1,2.0,0.49586,1
br.com.ggas.medicao.rota.impl.ControladorRotaImpl.listarPeriodicidades,1,6.0,5.22523,1
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaCriterioUso,1,3.0,1.1229,1
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaFormaPagamento,1,6.0,55.719632,1
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaTipoFaturamento,1,2.0,1.127891,1
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaFaseReferencialVencimento,1,2.0,0.96326,1
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaOpcaoFaseRefVencimento,1,4.0,1.473107,1
br.com.ggas.geral.negocio.impl.ControladorNegocioImpl.inicializarLazy,237,375.0,692.484411,4
br.com.ggas.geral.negocio.impl.ControladorNegocioImpl.obter,1,1.0,0.833473,1
br.com.ggas.contrato.contrato.impl.ControladorModeloContratoImpl.consultarModelosContrato,10,17.0,14.747718,1
br.com.ggas.contrato.contrato.impl.ControladorContratoImpl.consultarContratoPrincipalEComplementar,1,1.0,5.03147,2
br.com.ggas.geral.negocio.impl.ControladorNegocioImpl.obter,89,135.0,191.304321,67
br.com.ggas.geral.negocio.impl.ControladorNegocioImpl.inicializarLazy,237,375.0,350.460407,4
br.com.ggas.geral.negocio.impl.ControladorNegocioImpl.obter,1,1.0,2.253433,1
br.com.ggas.geral.negocio.impl.ControladorNegocioImpl.inicializarLazy,3,0.0,2.353065,3
br.com.ggas.geral.negocio.impl.ControladorNegocioImpl.obter,89,135.0,302.464949,67
br.com.ggas.geral.negocio.impl.ControladorNegocioImpl.obter,86,132.0,100.831156,63
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.listarEntidadeConteudoPorDescricaoEntidadeClasse,7,16.0,8.308949,2
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaHoraInicialDia,1,0.0,0.491825,1
br.com.ggas.contrato.contrato.impl.ControladorContratoImpl.listarContratoModalidade,1,3.0,0.685088,1
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaResponsabilidades,1,3.0,7.079097,1
br.com.ggas.arrecadacao.impl.ControladorArrecadacaoConvenioImpl.consultarArrecadadorConvenio,15,20.0,81.759028,8
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.obterListaItemFatura,1,3.0,0.450821,1
br.com.ggas.geral.impl.ControladorEntidadeConteudoImpl.listarLocalAmostragemPCS,1,4.0,10.710441,1
