Clusters,Methods
0,br.com.ggas.controleacesso.impl.ControladorModuloImpl.buscarOperacaoPorRecurso
1,br.com.ggas.controleacesso.impl.ControladorAcessoImpl.listarRecursosUsuario
0,br.com.ggas.controleacesso.impl.ControladorPapelImpl.consultarPapeisPorUsuario
0,br.com.ggas.cobranca.parcelamento.impl.ControladorParcelamentoImpl.consultarParcelamentoCliente
0,br.com.ggas.contrato.programacao.impl.ControladorProgramacaoImpl.listarSolicitacaoConsumoPendentes
0,br.com.ggas.controleacesso.impl.ControladorAcessoImpl.consultarUsuarioDosPapeis
0,br.com.ggas.controleacesso.impl.ControladorAcessoImpl.consultarPapeisAutorizadosProgramacaoConsumo
0,br.com.ggas.faturamento.creditodebito.impl.ControladorCreditoDebitoImpl.consultarCreditoDebitoNegociado
0,br.com.ggas.controleacesso.impl.ControladorPapelImpl.consultarPapeisPorUsuario
0,br.com.ggas.controleacesso.impl.ControladorPapelImpl.consultarPapeisPorUsuario
0,br.com.ggas.integracao.supervisorio.impl.ControladorSupervisorioImpl.consultarSupervisorioMedicaoHoraria
0,br.com.ggas.faturamento.tarifa.impl.ControladorTarifaImpl.consultarTarifasVigencia
0,br.com.ggas.controleacesso.impl.ControladorAcessoImpl.consultarPapeisAutorizadosTarifa
0,br.com.ggas.controleacesso.impl.ControladorAcessoImpl.consultarUsuarioDosPapeis
0,br.com.ggas.controleacesso.impl.ControladorPapelImpl.consultarPapeisPorUsuario
0,br.com.ggas.integracao.supervisorio.impl.ControladorSupervisorioImpl.consultarSupervisorioMedicaoDiaria
1,br.com.ggas.geral.impl.ControladorMenuImpl.listarModulos
0,br.com.ggas.controleacesso.impl.ControladorUsuarioImpl.verificarUsuarioJaExistente
0,br.com.ggas.geral.negocio.impl.ControladorNegocioImpl.atualizar
0,br.com.ggas.controleacesso.impl.ControladorUsuarioImpl.buscar
0,br.com.ggas.controleacesso.impl.ControladorUsuarioImpl.buscar
