0,1,2,3,4
br.com.ggas.controleacesso.impl.ControladorModuloImpl.buscarOperacaoPorRecurso,1,4.0,2.272955,3
br.com.ggas.controleacesso.impl.ControladorAcessoImpl.listarRecursosUsuario,26,3318.0,238.74027,8
br.com.ggas.controleacesso.impl.ControladorPapelImpl.consultarPapeisPorUsuario,1,1.0,10.595581,3
br.com.ggas.cobranca.parcelamento.impl.ControladorParcelamentoImpl.consultarParcelamentoCliente,1,0.0,1.81771,5
br.com.ggas.contrato.programacao.impl.ControladorProgramacaoImpl.listarSolicitacaoConsumoPendentes,1,0.0,8.650854,3
br.com.ggas.controleacesso.impl.ControladorAcessoImpl.consultarUsuarioDosPapeis,56,176.0,111.470259,11
br.com.ggas.controleacesso.impl.ControladorAcessoImpl.consultarPapeisAutorizadosProgramacaoConsumo,1,2.0,7.713975,4
br.com.ggas.faturamento.creditodebito.impl.ControladorCreditoDebitoImpl.consultarCreditoDebitoNegociado,1,0.0,7.707269,4
br.com.ggas.controleacesso.impl.ControladorPapelImpl.consultarPapeisPorUsuario,1,1.0,56.347826,3
br.com.ggas.controleacesso.impl.ControladorPapelImpl.consultarPapeisPorUsuario,1,1.0,1.698274,3
br.com.ggas.integracao.supervisorio.impl.ControladorSupervisorioImpl.consultarSupervisorioMedicaoHoraria,1,0.0,381.169138,1
br.com.ggas.faturamento.tarifa.impl.ControladorTarifaImpl.consultarTarifasVigencia,1,0.0,1.413853,1
br.com.ggas.controleacesso.impl.ControladorAcessoImpl.consultarPapeisAutorizadosTarifa,1,2.0,2.703944,4
br.com.ggas.controleacesso.impl.ControladorAcessoImpl.consultarUsuarioDosPapeis,69,125.0,335.250342,30
br.com.ggas.controleacesso.impl.ControladorPapelImpl.consultarPapeisPorUsuario,1,1.0,5.804461,3
br.com.ggas.integracao.supervisorio.impl.ControladorSupervisorioImpl.consultarSupervisorioMedicaoDiaria,1,0.0,13.869178,1
br.com.ggas.geral.impl.ControladorMenuImpl.listarModulos,628,2994.0,1194.248355,5
br.com.ggas.controleacesso.impl.ControladorUsuarioImpl.verificarUsuarioJaExistente,1,1.0,0.637155,1
br.com.ggas.geral.negocio.impl.ControladorNegocioImpl.atualizar,2,3.0,12.038981,4
br.com.ggas.controleacesso.impl.ControladorUsuarioImpl.buscar,44,98.0,172.446414,30
br.com.ggas.controleacesso.impl.ControladorUsuarioImpl.buscar,44,98.0,234.99456,30
